Notification Sound,positive,negative,neutral,love,joy,sadness,anger,surprise,fear
angry,0,0.825,0.175,0,0,0,0.7,0.175,0.125
anxious,0.05,0.5,0.45,0,0,0.175,0.05,0.2,0.575
boom,0.175,0.55,0.275,0,0.05,0,0.15,0.7,0.1
boss,0.3,0.55,0.15,0.075,0.1,0,0.075,0.325,0.425
confused,0.35,0.35,0.3,0.125,0.3,0.1,0.075,0.25,0.15
default_ios,0.35,0.025,0.625,0.15,0.425,0.05,0.025,0.325,0.025
disappointed,0,0.775,0.225,0,0,0.7,0.125,0.025,0.15
disappointed3,0.05,0.825,0.125,0.05,0,0.675,0.15,0.075,0.05
disappointed4,0.1,0.5,0.4,0.075,0,0.4375,0.025,0.325,0.1375
disappointed5,0,0.7125,0.2875,0,0.025,0.675,0.05,0.125,0.125
disappointed2,0,0.75,0.25,0,0.05,0.6,0.125,0.15,0.075
emergency,0.15,0.325,0.525,0.1,0.05,0.1,0.1,0.325,0.325
emergency2,0.25,0.3,0.45,0,0.125,0,0.175,0.425,0.275
emergency3,0.05,0.5,0.45,0,0,0.05,0.275,0.425,0.25
exciting,0.725,0,0.275,0.075,0.55,0,0.025,0.35,0
funny,0.725,0.025,0.275,0.1,0.675,0,0.025,0.2,0
happy,0.8,0,0.2,0.275,0.625,0,0,0.1,0
happy2,0.675,0.125,0.2,0.425,0.525,0.05,0,0,0
happy3,0.825,0,0.175,0.3,0.625,0,0,0.075,0
important_ominous,0,0.775,0.225,0,0,0.1,0.1,0.375,0.425
important,0.175,0.275,0.55,0,0.05,0,0.075,0.775,0.1
negative,0,0.7,0.3,0,0,0.35,0.225,0.125,0.3
negative2,0.075,0.7,0.225,0,0,0.125,0.425,0.15,0.3
negative3,0.025,0.85,0.15,0,0.025,0.35,0.325,0.1,0.2
negative4,0,0.475,0.525,0,0,0.45,0.25,0.075,0.225
ominous,0,0.725,0.275,0,0,0.3,0.175,0.025,0.5
ominous2,0.025,0.775,0.2,0,0.025,0.3,0,0.2,0.475
positive,0.875,0,0.125,0.3,0.625,0,0,0.075,0
positive2,0.775,0.025,0.2,0.55,0.45,0,0,0,0
positive3,0.625,0.15,0.225,0.45,0.4,0,0,0.025,0.125
positive4,0.65,0.025,0.325,0.55,0.45,0,0,0,0
positive5,0.7,0,0.3,0.35,0.6,0,0,0.05,0
positive6,0.5,0.025,0.475,0.225,0.625,0,0.075,0.075,0
quick,0.4,0.1,0.5,0.1,0.45,0.025,0.125,0.275,0.025
sad,0,0.875,0.125,0.125,0,0.8,0,0,0.075
sad2,0,0.725,0.275,0,0,0.6,0.15,0.075,0.175
serious,0.125,0.45,0.425,0,0.025,0.225,0.3,0.225,0.225
serious2,0.125,0.625,0.25,0.025,0.075,0.125,0.2,0.15,0.425
solemn,0.075,0.525,0.375,0.05,0.075,0.4,0.1,0.125,0.25
