Text Message,Manual or Machine,positive,negative,neutral,love,joy,sadness,anger,surprise,fear
Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,Manual,0.7,0.2,0.1,0.5,0.3,0.1,0.1,0,0
U can call me now...,Manual,0.2,0.2,0.6,,,,,,
Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,Manual,0.5,0.2,0.3,,,,,,
"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",Manual,0.1,0.7,0.2,,,,,,
"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",Manual,0.1,0.9,0,,,,,,
How much you got for cleaning,Manual,0,0.1,0.9,,,,,,
Lmao!nice 1,Manual,0.5,0.1,0.4,,,,,,
That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,Manual,0.3,0.5,0.2,,,,,,
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,Manual,0.5,0.1,0.4,,,,,,
Thanx but my birthday is over already.,Manual,0.3,0.6,0.1,,,,,,
"\Are you comingdown later?\""""",Manual,0.2,0.2,0.6,,,,,,
And miss vday the parachute and double coins??? U must not know me very well...,Manual,0.1,0.8,0.1,,,,,,
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,Manual,0.2,0.8,0,,,,,,
K. Did you call me just now ah?,Manual,0.2,0.5,0.3,,,,,,
"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",Manual,0.3,0,0.7,,,,,,
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,Manual,0.2,0.1,0.7,,,,,,
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),Manual,0.2,0.7,0.1,,,,,,
Yar lor actually we quite fast... Cos da ge slow wat... Haha...,Manual,0.5,0.3,0.2,,,,,,
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Manual,0.1,0.1,0.8,,,,,,
Which channel:-):-):):-).,Manual,0.6,0,0.4,,,,,,
Only saturday and sunday holiday so its very difficult:),Manual,0.2,0.5,0.3,,,,,,
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",Manual,0.1,0.1,0.8,,,,,,
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Manual,0.2,0.6,0.2,,,,,,
