Text Message,Manual or Machine,Positive,Negative,Neutral,Love,Joy,Sadness,Anger,Surprise,Fear
Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,Manual,,,,,,,,,
U can call me now...,Manual,,,,,,,,,
Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,Manual,,,,,,,,,
"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",Manual,,,,,,,,,
"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",Manual,,,,,,,,,
How much you got for cleaning,Manual,,,,,,,,,
Lmao!nice 1,Manual,,,,,,,,,
That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,Manual,,,,,,,,,
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,Manual,,,,,,,,,
Thanx but my birthday is over already.,Manual,,,,,,,,,
"\Are you comingdown later?\""""",Manual,,,,,,,,,
And miss vday the parachute and double coins??? U must not know me very well...,Manual,,,,,,,,,
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,Manual,,,,,,,,,
K. Did you call me just now ah? ,Manual,,,,,,,,,
"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",Manual,,,,,,,,,
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,Manual,,,,,,,,,
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),Manual,,,,,,,,,
Yar lor actually we quite fast... Cos da ge slow wat... Haha...,Manual,,,,,,,,,
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Manual,,,,,,,,,
Which channel:-):-):):-).,Manual,,,,,,,,,
Only saturday and sunday holiday so its very difficult:),Manual,,,,,,,,,
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",Manual,,,,,,,,,
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Manual,,,,,,,,,
"I'll see, but prolly yeah",Manual,,,,,,,,,
"yeah, that's what I was thinking",Manual,,,,,,,,,
Excellent! Are you ready to moan and scream in ecstasy?,Manual,,,,,,,,,
He remains a bro amongst bros,Manual,,,,,,,,,
Ok set let u noe e details later...,Manual,,,,,,,,,
I'm in class. Did you get my text.,Manual,,,,,,,,,
�� predict wat time �_'ll finish buying?,Manual,,,,,,,,,
"Its good, we'll find a way",Manual,,,,,,,,,
I AM AT A PARTY WITH ALEX NICHOLS,Manual,,,,,,,,,
Eatin my lunch...,Manual,,,,,,,,,
twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,Manual,,,,,,,,,
We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,Manual,,,,,,,,,
645,Manual,,,,,,,,,
"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",Manual,,,,,,,,,
Change windows logoff sound..,Manual,,,,,,,,,
At WHAT TIME should i come tomorrow,Manual,,,,,,,,,
Dunno lei shd b driving lor cos i go sch 1 hr oni.,Manual,,,,,,,,,
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,Manual,,,,,,,,,
Din i tell u jus now 420,Manual,,,,,,,,,
"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",Manual,,,,,,,,,
Have you always been saying welp?,Manual,,,,,,,,,
"GOD ASKED, \What is forgiveness?\"" A little child gave lovely reply",Manual,,,,,,,,,
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,Manual,,,,,,,,,
Hello madam how are you ?,Manual,,,,,,,,,
Am i that much bad to avoid like this?,Manual,,,,,,,,,
I have gone into get info bt dont know what to do,Manual,,,,,,,,,
I wanna watch that movie,Manual,,,,,,,,,
X2  &lt;#&gt; . Are you going to get that,Manual,,,,,,,,,
May b approve panalam...but it should have more posts..,Manual,,,,,,,,,
I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,Manual,,,,,,,,,
I love working from home :),Manual,,,,,,,,,
In work now. Going have in few min.,Manual,,,,,,,,,
Stupid.its not possible,Manual,,,,,,,,,
"Now, whats your house # again ? And do you have any beer there ?",Manual,,,,,,,,,
"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",Manual,,,,,,,,,
I always chat with you. In fact i need money can you raise me?,Manual,,,,,,,,,
Very hurting n meaningful lines ever: \I compromised everything for my love,Manual,,,,,,,,,
Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,Manual,,,,,,,,,
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,Manual,,,,,,,,,
Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,Manual,,,,,,,,,
Its worse if if uses half way then stops. Its better for him to complete it.,Manual,,,,,,,,,
watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,Manual,,,,,,,,,
cool. We will have fun practicing making babies!,Manual,,,,,,,,,
MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,Manual,,,,,,,,,
"Probably, want to pick up more?",Manual,,,,,,,,,
Yup ok thanx...,Manual,,,,,,,,,
Buy one egg for me da..please:),Manual,,,,,,,,,
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,Manual,,,,,,,,,
You got called a tool?,Manual,,,,,,,,,
U call me alter at 11 ok.,Manual,,,,,,,,,
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,Manual,,,,,,,,,
How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,Manual,,,,,,,,,
If we win its really no 1 side for long time.,Manual,,,,,,,,,
"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",Manual,,,,,,,,,
Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,Manual,,,,,,,,,
If You mean the website. Yes.,Manual,,,,,,,,,
Two teams waiting for some players,Manual,,,,,,,,,
"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",Manual,,,,,,,,,
"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",Manual,,,,,,,,,
I didn't get the second half of that message,Manual,,,,,,,,,
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,Manual,,,,,,,,,
